"","feature_name","imp_value"
"Elevation","Elevation","680.502802589723"
"Sy","Sy","661.964489813831"
"Lithology","Lithology","554.051819561167"
"Drainage_density","Drainage_density","229.476992973347"
"TRI","TRI","214.620704636213"
"Distance_from_stream","Distance_from_stream","133.629875357671"
"STI1","STI1","106.195980667407"
"TWI1","TWI1","105.356244451097"
"SPI1","SPI1","98.376859532351"
"Aspect","Aspect","78.1132219434051"
"Slope_degree","Slope_degree","76.3287796872088"
"Profile_curvature","Profile_curvature","69.4118920423228"
"Curvature","Curvature","65.3292795295501"
"Plan_curvature","Plan_curvature","57.8989076124437"
