"","i","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,0.76643111385462,0.553586996681005,0.706265508684863,0.695452457510335,0.728748806112703,0.617064294379296,0.399963082466017,0.535063113604488
"2",2,0.872291022011398,0.74696169735148,0.792493796526055,0.779053743683969,0.82043935052531,0.719731881022204,0.569631361367428,0.641044776119403
"3",3,0.895548407221631,0.782415113515526,0.82227047146402,0.799265043638034,0.870105062082139,0.760751565762004,0.635488220711989,0.675816023738872
"4",4,0.90898553471454,0.805103613206597,0.836538461538462,0.823610473128158,0.86341929321872,0.774304068522484,0.656851961479312,0.701863354037267
"5",5,0.909811658657703,0.804300175470416,0.845533498759305,0.84152503445108,0.853868194842407,0.782152230971129,0.669448394687759,0.721549636803874
"6",6,0.91138010958536,0.798646934139242,0.843362282878412,0.834634818557648,0.861509073543458,0.781290601992204,0.667916840107661,0.714738510301109
"7",7,0.908695097088215,0.795698636218845,0.844602977667494,0.837390904915021,0.859598853868195,0.782268578878748,0.669494588339922,0.717703349282297
"8",8,0.907773769270558,0.795073723277028,0.840570719602978,0.838309600367478,0.845272206303725,0.774956217162872,0.658277888730136,0.715440582053355
"9",9,0.902704272635819,0.787006946849374,0.831885856079404,0.827285254937988,0.8414517669532,0.764756944444444,0.642078463856475,0.700875099443119
"10",10,0.901567968327382,0.78349361912467,0.834677419354839,0.831878732200276,0.840496657115568,0.767553423462713,0.646609676186227,0.706260032102729
"11",11,0.899247538409504,0.781751096910284,0.832506203473945,0.831878732200276,0.833810888252149,0.763779527559055,0.64085301524283,0.704600484261501
"12",12,0.896816987881029,0.77818675623439,0.832196029776675,0.834634818557648,0.82712511938873,0.761988561372635,0.638351745636352,0.706362153344209
"13",13,0.894474182859006,0.772810799329591,0.827543424317618,0.825447864033073,0.831900668576886,0.758050478677111,0.631692987386915,0.696243005595524
"14",14,0.893420359326616,0.773227279149069,0.826612903225806,0.829122645842903,0.821394460362942,0.754716981132076,0.626918745387486,0.698051948051948
